Date,Region,New_Tests,Total_Tests,Positivity,Turn_Around hours
2020-02-21,Northern,0,0,0,0
2020-02-21,Unknown,0,0,0,0
2020-02-21,Vancouver Coastal,16,360,0,36
2020-02-21,Vancouver Island,0,0,0,0
2020-02-22,BC,44,1101,4.55,34
2020-02-22,Fraser,20,575,10,43
2020-02-22,Interior,3,54,0,16
2020-02-22,Northern,0,0,0,0
2020-02-22,Unknown,0,0,0,0
2020-02-22,Vancouver Coastal,19,379,0,23
2020-02-22,Vancouver Island,2,78,0,72
2020-02-23,BC,17,1118,0,25
2020-02-23,Fraser,11,586,0,35
2020-02-23,Interior,2,56,0,0
2020-02-23,Northern,0,0,0,0
2020-02-23,Unknown,0,0,0,0
2020-02-23,Vancouver Coastal,4,383,0,12
2020-02-23,Vancouver Island,0,0,0,0
2020-02-24,BC,65,1183,0,38
2020-02-24,Fraser,38,624,0,42
2020-02-24,Interior,0,0,0,0
2020-02-24,Northern,0,0,0,0
2020-02-24,Unknown,0,0,0,0
2020-02-24,Vancouver Coastal,27,410,0,33
2020-02-24,Vancouver Island,0,0,0,0
2020-02-25,BC,78,1261,0,44
2020-02-25,Fraser,50,674,0,48
2020-02-25,Interior,1,57,0,96
2020-02-25,Northern,2,14,0,0
2020-02-25,Unknown,0,0,0,0
2020-02-25,Vancouver Coastal,20,430,0,24
2020-02-25,Vancouver Island,5,83,0,96
2020-02-26,BC,138,1399,0,30
2020-02-26,Fraser,76,750,0,28
2020-02-26,Interior,2,59,0,72
2020-02-26,Northern,3,17,0,56
2020-02-26,Unknown,2,5,0,12
2020-02-26,Vancouver Coastal,53,483,0,32
2020-02-26,Vancouver Island,2,85,0,24
2020-02-27,BC,121,1520,0,35
2020-02-27,Fraser,63,813,0,31
2020-02-27,Interior,2,61,0,48
2020-02-27,Northern,1,18,0,72
2020-02-27,Unknown,1,6,0,24
2020-02-27,Vancouver Coastal,53,536,0,38
2020-02-27,Vancouver Island,1,86,0,48
2020-02-28,BC,148,1668,0,38
2020-02-28,Fraser,81,894,0,29
2020-02-28,Interior,11,72,0,87
2020-02-28,Northern,0,0,0,0
2020-02-28,Unknown,0,0,0,0
2020-02-28,Vancouver Coastal,46,582,0,35
2020-02-28,Vancouver Island,10,96,0,65
2020-02-29,BC,105,1773,2.86,31
2020-02-29,Fraser,57,951,3.51,21
2020-02-29,Interior,4,76,0,60
2020-02-29,Northern,5,23,0,34
2020-02-29,Unknown,0,0,0,0
2020-02-29,Vancouver Coastal,26,608,3.85,42
2020-02-29,Vancouver Island,13,109,0,46
2020-03-01,BC,71,1844,1.41,23
2020-03-01,Fraser,32,983,0,25
2020-03-01,Interior,0,0,0,0
2020-03-01,Northern,0,0,0,0
2020-03-01,Unknown,1,7,0,0
2020-03-01,Vancouver Coastal,37,645,0,23
2020-03-01,Vancouver Island,1,110,0,0
2020-03-02,BC,194,2038,1.03,42
2020-03-02,Fraser,108,1091,1.85,46
2020-03-02,Interior,0,0,0,0
2020-03-02,Northern,0,0,0,0
2020-03-02,Unknown,0,0,0,0
2020-03-02,Vancouver Coastal,77,722,0,36
2020-03-02,Vancouver Island,9,119,0,53
2020-03-03,BC,310,2348,0.97,46
2020-03-03,Fraser,122,1213,0.82,37
2020-03-03,Interior,67,143,0,67
2020-03-03,Northern,10,33,0,70
2020-03-03,Unknown,0,0,0,0
2020-03-03,Vancouver Coastal,86,808,2.33,38
2020-03-03,Vancouver Island,25,144,0,45
2020-03-04,BC,484,2832,1.65,39
2020-03-04,Fraser,212,1425,0.94,31
2020-03-04,Interior,39,182,0,39
2020-03-04,Northern,22,55,0,117
2020-03-04,Unknown,2,9,0,72
2020-03-04,Vancouver Coastal,171,979,3.51,39
2020-03-04,Vancouver Island,38,182,0,40
2020-03-05,BC,369,3201,2.44,40
2020-03-05,Fraser,163,1588,1.23,34
2020-03-05,Interior,27,209,0,56
2020-03-05,Northern,13,68,0,148
2020-03-05,Unknown,0,0,0,0
2020-03-05,Vancouver Coastal,112,1091,6.25,32
2020-03-05,Vancouver Island,54,236,0,42
2020-03-06,BC,756,3957,0.79,45
2020-03-06,Fraser,347,1935,0.29,44
2020-03-06,Interior,60,269,0,49
2020-03-06,Northern,21,89,0,61
2020-03-06,Unknown,1,10,0,96
2020-03-06,Vancouver Coastal,246,1337,2.03,44
2020-03-06,Vancouver Island,81,317,0,39
2020-03-07,BC,442,4399,2.04,44
2020-03-07,Fraser,207,2142,3.38,38
2020-03-07,Interior,77,346,0,72
2020-03-07,Northern,5,94,0,53
2020-03-07,Unknown,0,0,0,0
2020-03-07,Vancouver Coastal,133,1470,1.5,38
2020-03-07,Vancouver Island,20,337,0,29
2020-03-08,BC,391,4790,1.02,47
2020-03-08,Fraser,191,2333,1.05,31
2020-03-08,Interior,59,405,0,71
2020-03-08,Northern,23,117,0,110
2020-03-08,Unknown,0,0,0,0
2020-03-08,Vancouver Coastal,44,1514,4.55,40
2020-03-08,Vancouver Island,74,411,0,52
2020-03-09,BC,447,5237,2.91,44
2020-03-09,Fraser,200,2533,3,43
2020-03-09,Interior,10,415,0,161
2020-03-09,Northern,3,120,66.67,72
2020-03-09,Unknown,0,0,0,0
2020-03-09,Vancouver Coastal,121,1635,3.31,51
2020-03-09,Vancouver Island,113,524,0.88,28
2020-03-10,BC,695,5932,1.73,58
2020-03-10,Fraser,260,2793,1.54,55
2020-03-10,Interior,146,561,0,85
2020-03-10,Northern,3,123,0,120
2020-03-10,Unknown,2,12,0,96
2020-03-10,Vancouver Coastal,176,1811,3.98,61
2020-03-10,Vancouver Island,108,632,0,22
2020-03-11,BC,1137,7069,1.85,45
2020-03-11,Fraser,373,3166,0.54,44
2020-03-11,Interior,90,651,0,81
2020-03-11,Northern,58,181,1.72,78
2020-03-11,Unknown,1,13,0,72
2020-03-11,Vancouver Coastal,386,2197,4.4,43
2020-03-11,Vancouver Island,229,861,0.44,25
2020-03-12,BC,1079,8148,1.02,38
2020-03-12,Fraser,322,3488,1.24,41
2020-03-12,Interior,183,834,0,70
2020-03-12,Northern,20,201,0,56
2020-03-12,Unknown,6,19,0,48
2020-03-12,Vancouver Coastal,334,2531,1.2,36
2020-03-12,Vancouver Island,214,1075,1.4,5
2020-03-13,BC,1449,9597,1.24,33
2020-03-13,Fraser,492,3980,0.41,40
2020-03-13,Interior,120,954,0,45
2020-03-13,Northern,21,222,0,64
2020-03-13,Unknown,9,28,0,24
2020-03-13,Vancouver Coastal,583,3114,2.4,34
2020-03-13,Vancouver Island,224,1299,0.89,8
2020-03-14,BC,1550,11147,1.48,36
2020-03-14,Fraser,557,4537,0.72,39
2020-03-14,Interior,250,1204,0,48
2020-03-14,Northern,56,278,0,73
2020-03-14,Unknown,14,42,0,33
2020-03-14,Vancouver Coastal,494,3608,3.24,31
2020-03-14,Vancouver Island,179,1478,1.68,8
2020-03-15,BC,1771,12918,2.03,49
2020-03-15,Fraser,605,5142,2.15,61
2020-03-15,Interior,207,1411,1.93,36
2020-03-15,Northern,35,313,0,97
2020-03-15,Unknown,34,76,0,59
2020-03-15,Vancouver Coastal,726,4334,2.2,49
2020-03-15,Vancouver Island,164,1642,1.83,17
2020-03-16,BC,3423,16341,1.55,62
2020-03-16,Fraser,1485,6627,0.88,68
2020-03-16,Interior,335,1746,0,59
2020-03-16,Northern,69,382,0,96
2020-03-16,Unknown,59,135,0,69
2020-03-16,Vancouver Coastal,1134,5468,2.73,67
2020-03-16,Vancouver Island,341,1983,2.64,19
2020-03-17,BC,3023,19364,2.28,49
2020-03-17,Fraser,1047,7674,3.06,50
2020-03-17,Interior,332,2078,0,62
2020-03-17,Northern,179,561,0,86
2020-03-17,Unknown,36,171,0,56
2020-03-17,Vancouver Coastal,1053,6521,2.56,51
2020-03-17,Vancouver Island,376,2359,2.39,17
2020-03-18,BC,1113,20477,4.76,31
2020-03-18,Fraser,247,7921,4.05,44
2020-03-18,Interior,46,2124,0,74
2020-03-18,Northern,54,615,0,72
2020-03-18,Unknown,10,181,0,53
2020-03-18,Vancouver Coastal,504,7025,6.15,30
2020-03-18,Vancouver Island,252,2611,4.37,2
2020-03-19,BC,854,21331,6.56,33
2020-03-19,Fraser,161,8082,12.42,47
2020-03-19,Interior,14,2138,28.57,106
2020-03-19,Northern,13,628,0,44
2020-03-19,Unknown,16,197,0,26
2020-03-19,Vancouver Coastal,605,7630,4.3,29
2020-03-19,Vancouver Island,45,2656,6.67,12
2020-03-20,BC,1524,22855,4.4,45
2020-03-20,Fraser,446,8528,6.05,51
2020-03-20,Interior,164,2302,2.44,77
2020-03-20,Northern,42,670,0,129
2020-03-20,Unknown,17,214,0,45
2020-03-20,Vancouver Coastal,568,8198,4.93,33
2020-03-20,Vancouver Island,287,2943,2.44,28
2020-03-21,BC,2000,24855,5.4,55
2020-03-21,Fraser,408,8936,10.78,64
2020-03-21,Interior,626,2928,1.44,77
2020-03-21,Northern,37,707,2.7,82
2020-03-21,Unknown,14,228,0,53
2020-03-21,Vancouver Coastal,526,8724,8.17,39
2020-03-21,Vancouver Island,389,3332,2.31,28
2020-03-22,BC,2052,26907,3.17,55
2020-03-22,Fraser,773,9709,2.2,66
2020-03-22,Interior,355,3283,3.1,60
2020-03-22,Northern,102,809,0,109
2020-03-22,Unknown,10,238,0,24
2020-03-22,Vancouver Coastal,525,9249,5.33,42
2020-03-22,Vancouver Island,287,3619,3.14,27
2020-03-23,BC,1955,28862,4.45,66
2020-03-23,Fraser,949,10658,3.37,72
2020-03-23,Interior,123,3406,4.88,83
2020-03-23,Northern,79,888,2.53,124
2020-03-23,Unknown,21,259,0,82
2020-03-23,Vancouver Coastal,555,9804,5.95,55
2020-03-23,Vancouver Island,228,3847,5.26,40
2020-03-24,BC,1895,30757,4.17,40
2020-03-24,Fraser,635,11293,3.78,52
2020-03-24,Interior,183,3589,9.29,49
2020-03-24,Northern,17,905,5.88,92
2020-03-24,Unknown,7,266,0,21
2020-03-24,Vancouver Coastal,667,10471,4.5,33
2020-03-24,Vancouver Island,386,4233,1.55,26
2020-03-25,BC,2703,33460,3.7,61
2020-03-25,Fraser,1104,12397,3.26,58
2020-03-25,Interior,639,4228,1.41,76
2020-03-25,Northern,137,1042,0.73,74
2020-03-25,Unknown,23,289,0,77
2020-03-25,Vancouver Coastal,740,11211,6.89,44
2020-03-25,Vancouver Island,60,4293,3.33,123
2020-03-26,BC,2590,36050,3.71,52
2020-03-26,Fraser,700,13097,6,44
2020-03-26,Interior,783,5011,2.55,82
2020-03-26,Northern,157,1199,2.55,85
2020-03-26,Unknown,9,298,0,40
2020-03-26,Vancouver Coastal,553,11764,4.34,27
2020-03-26,Vancouver Island,388,4681,1.29,26
2020-03-27,BC,2138,38188,3.37,34
2020-03-27,Fraser,767,13864,4.17,35
2020-03-27,Interior,365,5376,1.1,47
2020-03-27,Northern,105,1304,0.95,71
2020-03-27,Unknown,15,313,0,26
2020-03-27,Vancouver Coastal,508,12272,6.3,26
2020-03-27,Vancouver Island,378,5059,0.79,22
2020-03-28,BC,1789,39977,4.08,35
2020-03-28,Fraser,506,14370,4.94,37
2020-03-28,Interior,425,5801,2.35,42
2020-03-28,Northern,91,1395,2.2,69
2020-03-28,Unknown,4,317,0,24
2020-03-28,Vancouver Coastal,449,12721,6.46,24
2020-03-28,Vancouver Island,314,5373,2.23,25
2020-03-29,BC,1569,41546,3.06,36
2020-03-29,Fraser,618,14988,2.75,41
2020-03-29,Interior,330,6131,2.12,40
2020-03-29,Northern,59,1454,0,70
2020-03-29,Unknown,14,331,0,93
2020-03-29,Vancouver Coastal,329,13050,6.99,22
2020-03-29,Vancouver Island,219,5592,0.46,23
2020-03-30,BC,1008,42554,6.05,39
2020-03-30,Fraser,408,15396,5.39,46
2020-03-30,Interior,111,6242,5.41,35
2020-03-30,Northern,46,1500,2.17,91
2020-03-30,Unknown,3,334,0,48
2020-03-30,Vancouver Coastal,273,13323,11.36,31
2020-03-30,Vancouver Island,167,5759,0.6,23
2020-03-31,BC,1000,43554,3.7,42
2020-03-31,Fraser,521,15917,3.45,45
2020-03-31,Interior,8,6250,0,129
2020-03-31,Northern,75,1575,1.33,81
2020-03-31,Unknown,9,343,0,56
2020-03-31,Vancouver Coastal,382,13705,4.71,27
2020-03-31,Vancouver Island,5,5764,0,67
2020-04-01,BC,1174,44728,4.51,30
2020-04-01,Fraser,423,16340,5.44,36
2020-04-01,Interior,220,6470,4.09,29
2020-04-01,Northern,8,1583,0,93
2020-04-01,Unknown,8,351,0,30
2020-04-01,Vancouver Coastal,313,14018,6.39,25
2020-04-01,Vancouver Island,202,5966,0.5,23
2020-04-02,BC,1147,45875,5.23,33
2020-04-02,Fraser,492,16832,5.49,31
2020-04-02,Interior,14,6484,0,70
2020-04-02,Northern,113,1696,4.42,82
2020-04-02,Unknown,10,361,0,38
2020-04-02,Vancouver Coastal,307,14325,7.49,24
2020-04-02,Vancouver Island,211,6177,2.37,23
2020-04-03,BC,1177,47052,3.91,29
2020-04-03,Fraser,417,17249,4.8,35
2020-04-03,Interior,216,6700,3.7,26
2020-04-03,Northern,49,1745,0,71
2020-04-03,Unknown,9,370,0,21
2020-04-03,Vancouver Coastal,265,14590,4.91,18
2020-04-03,Vancouver Island,221,6398,2.26,24
2020-04-04,BC,1239,48291,3.23,32
2020-04-04,Fraser,540,17789,3.52,35
2020-04-04,Interior,167,6867,0,31
2020-04-04,Northern,59,1804,3.39,75
2020-04-04,Unknown,14,384,0,31
2020-04-04,Vancouver Coastal,269,14859,5.95,25
2020-04-04,Vancouver Island,190,6588,1.58,20
2020-04-05,BC,752,49043,2.39,28
2020-04-05,Fraser,209,17998,3.35,28
2020-04-05,Interior,144,7011,1.39,23
2020-04-05,Northern,58,1862,1.72,84
2020-04-05,Unknown,7,391,0,24
2020-04-05,Vancouver Coastal,172,15031,4.65,19
2020-04-05,Vancouver Island,162,6750,0,23
2020-04-06,BC,837,49880,7.77,28
2020-04-06,Fraser,277,18275,14.08,36
2020-04-06,Interior,118,7129,0.85,24
2020-04-06,Northern,59,1921,0,59
2020-04-06,Unknown,9,400,0,35
2020-04-06,Vancouver Coastal,227,15258,10.57,17
2020-04-06,Vancouver Island,147,6897,0,21
2020-04-07,BC,1085,50965,4.52,30
2020-04-07,Fraser,400,18675,7,39
2020-04-07,Interior,172,7301,4.07,25
2020-04-07,Northern,19,1940,0,43
2020-04-07,Unknown,11,411,0,35
2020-04-07,Vancouver Coastal,275,15533,4.36,26
2020-04-07,Vancouver Island,208,7105,0.96,21
2020-04-08,BC,1200,52165,4.67,30
2020-04-08,Fraser,476,19151,7.35,33
2020-04-08,Interior,179,7480,1.68,24
2020-04-08,Northern,77,2017,2.6,83
2020-04-08,Unknown,12,423,0,44
2020-04-08,Vancouver Coastal,267,15800,4.87,20
2020-04-08,Vancouver Island,189,7294,1.06,18
2020-04-09,BC,1181,53346,4.74,29
2020-04-09,Fraser,445,19596,8.09,34
2020-04-09,Interior,173,7653,4.05,25
2020-04-09,Northern,67,2084,2.99,77
2020-04-09,Unknown,14,437,0,34
2020-04-09,Vancouver Coastal,294,16094,3.4,19
2020-04-09,Vancouver Island,188,7482,0.53,18
2020-04-10,BC,1533,54879,3.65,32
2020-04-10,Fraser,608,20204,5.76,38
2020-04-10,Interior,190,7843,2.11,23
2020-04-10,Northern,101,2185,0.99,63
2020-04-10,Unknown,18,455,0,76
2020-04-10,Vancouver Coastal,406,16500,3.69,21
2020-04-10,Vancouver Island,210,7692,0.48,22
2020-04-11,BC,938,55817,2.88,27
2020-04-11,Fraser,390,20594,3.33,32
2020-04-11,Interior,121,7964,2.48,19
2020-04-11,Northern,50,2235,4,46
2020-04-11,Unknown,7,462,0,24
2020-04-11,Vancouver Coastal,183,16683,2.73,21
2020-04-11,Vancouver Island,187,7879,2.14,21
2020-04-12,BC,844,56661,4.98,25
2020-04-12,Fraser,293,20887,6.48,30
2020-04-12,Interior,151,8115,11.26,25
2020-04-12,Northern,6,2241,0,40
2020-04-12,Unknown,6,468,0,28
2020-04-12,Vancouver Coastal,243,16926,1.23,22
2020-04-12,Vancouver Island,145,8024,2.07,22
2020-04-13,BC,861,57522,4.99,34
2020-04-13,Fraser,303,21190,4.29,39
2020-04-13,Interior,105,8220,9.52,32
2020-04-13,Northern,90,2331,2.22,67
2020-04-13,Unknown,9,477,0,19
2020-04-13,Vancouver Coastal,240,17166,5.83,22
2020-04-13,Vancouver Island,114,8138,3.51,24
2020-04-14,BC,748,58270,7.49,28
2020-04-14,Fraser,239,21429,9.21,30
2020-04-14,Interior,130,8350,5.38,34
2020-04-14,Northern,49,2380,2.04,70
2020-04-14,Unknown,9,486,0,32
2020-04-14,Vancouver Coastal,196,17362,11.22,16
2020-04-14,Vancouver Island,125,8263,3.2,21
2020-04-15,BC,1351,59621,4.59,26
2020-04-15,Fraser,560,21989,8.04,33
2020-04-15,Interior,166,8516,2.41,20
2020-04-15,Northern,42,2422,4.76,46
2020-04-15,Unknown,22,508,0,25
2020-04-15,Vancouver Coastal,353,17715,1.98,20
2020-04-15,Vancouver Island,208,8471,1.92,20
2020-04-16,BC,1487,61108,4.1,26
2020-04-16,Fraser,569,22558,5.98,32
2020-04-16,Interior,193,8709,2.07,27
2020-04-16,Northern,82,2504,1.22,44
2020-04-16,Unknown,43,551,0,20
2020-04-16,Vancouver Coastal,382,18097,4.97,19
2020-04-16,Vancouver Island,218,8689,0.92,17
2020-04-17,BC,1346,62454,2.53,23
2020-04-17,Fraser,484,23042,3.51,27
2020-04-17,Interior,171,8880,1.75,23
2020-04-17,Northern,33,2537,6.06,44
2020-04-17,Unknown,9,560,0,21
2020-04-17,Vancouver Coastal,415,18512,2.17,19
2020-04-17,Vancouver Island,234,8923,1.28,19
2020-04-18,BC,1270,63724,3.15,26
2020-04-18,Fraser,401,23443,2.74,31
2020-04-18,Interior,137,9017,0.73,21
2020-04-18,Northern,74,2611,6.76,45
2020-04-18,Unknown,11,571,0,35
2020-04-18,Vancouver Coastal,444,18956,3.6,21
2020-04-18,Vancouver Island,203,9126,2.46,23
2020-04-19,BC,991,64715,3.63,27
2020-04-19,Fraser,389,23832,6.17,31
2020-04-19,Interior,140,9157,0.71,23
2020-04-19,Northern,12,2623,8.33,46
2020-04-19,Unknown,7,578,0,24
2020-04-19,Vancouver Coastal,281,19237,2.85,23
2020-04-19,Vancouver Island,162,9288,1.23,27
2020-04-20,BC,1247,65962,4.33,25
2020-04-20,Fraser,474,24306,7.17,28
2020-04-20,Interior,171,9328,2.92,18
2020-04-20,Northern,93,2716,0,45
2020-04-20,Unknown,10,588,0,31
2020-04-20,Vancouver Coastal,329,19566,2.43,22
2020-04-20,Vancouver Island,170,9458,4.12,20
2020-04-21,BC,1490,67452,5.44,27
2020-04-21,Fraser,659,24965,5.01,33
2020-04-21,Interior,151,9479,3.31,30
2020-04-21,Northern,58,2774,0,46
2020-04-21,Unknown,7,595,0,34
2020-04-21,Vancouver Coastal,405,19971,10.37,21
2020-04-21,Vancouver Island,210,9668,0.48,16
2020-04-22,BC,1870,69322,1.93,25
2020-04-22,Fraser,610,25575,2.13,23
2020-04-22,Interior,387,9866,1.29,35
2020-04-22,Northern,91,2865,1.1,36
2020-04-22,Unknown,20,615,0,19
2020-04-22,Vancouver Coastal,519,20490,2.5,22
2020-04-22,Vancouver Island,243,9911,1.23,19
2020-04-23,BC,2301,71623,3.78,27
2020-04-23,Fraser,871,26446,6.66,31
2020-04-23,Interior,340,10206,1.18,28
2020-04-23,Northern,101,2966,0.99,40
2020-04-23,Unknown,19,634,0,28
